Category,Item Name,Price,Description,Spice Level (0-3),Dietary (V/VG/GF/H),Signature
"Breakfast","HALVA PURI (weekends only, served 10.00-15.00)","£9.99","Golden puri paired with silky semolina halva, Lahori-style channa, savoury potato bhujia, pickled onions and meethay.",,"",
"Breakfast","OMELETTE AND PARATHA","£7.99","A fluffy desi-style omelette with onions, tomatoes, green chillies and coriander, served with a warm, flaky paratha.",,"",
"Breakfast","CHEESE  OMELETTE AND PARATHA","£8.99","A fluffy desi-style omelette with melted cheese,onions, tomatoes, green chillies and coriander, served with a warm, flaky paratha.",,"",
"Breakfast","ALOO BHUJIA","£7.99","Soft potatoes cooked with onions, green chillies, and warm spices.",,"",
"Breakfast","RAAVI CHANNA MASALA","£9.99","Chickpeas cooked in a rich tomato and onion masala with warm, balanced spices, made using a unique Lahori recipe for authentic flavour.",2,"V, VG, GF",
"Breakfast","LAMB NIHARI","£14.99","Slow-cooked lamb in a rich, aromatic gravy, simmered to tender perfection with traditional spices.",2,"H, GF",Yes
"Breakfast","PAYA","£12.99","Slow-cooked trotters in a rich, spiced broth, full of traditional flavour.",2,"H, GF",
"Breakfast","HALVA","£4.99","Sweet semolina halva cooked in ghee with cardamon, garnished with nuts.",,"",
"Breakfast","MEETHAY POORAY","£6.99","Sweet semolina pancakes cooked in ghee and lightly flavoured with cardamon.",,"",
"Vegetarian Starters","LAHORI LADOO PITHI","£8.99","Classic savoury lentil dumplings, fried golden and served with a garnish of shredded white radish and our signature sauces.",,"V",Yes
"Vegetarian Starters","PUNJABI VEGETABLE SAMOSA","£4.50","Crispy homemade style pastry filled with a spiced potato and pea mix. Served with tamarind and mint chutneys.",,"V, VG",
"Vegetarian Starters","PAKORA (ONION BHAJI)","£4.50","Crispy, golden fritters made with seasonal vegetables in a spiced gram flour batter, cooked until perfectly crunchy and served hot with our signature chutneys.",,"V, VG, GF",
"Vegetarian Starters","GOL GAPPE (PANI PURI)","£4.99","Crunchy puris served with spiced chickpea-potato filling and tangy tamarind water.",,"V, VG",
"Vegetarian Starters","CHILLI PANEER","£8.99","Crispy paneer cubes tossed in a spicy sauce with peppers, onions, and green chillies, served on a sizzling hot plate.",2,"V",
"Vegetarian Starters","PANEER TIKKA","£9.99","BBQ paneer cubes marinated in yoghurt, lemon, and secret spices, then grilled over open flame with onions and peppers. Smoky, spicy, and packed with flavours.",1,"V, GF",
"Vegetarian Starters","PAPRI CHAAT","£8.99","A classic street-food favourite: crisp papri wafers topped with soft potatoes, chickpeas, whipped yoghurt and our signature tamarind sauce & mint chutneys.",,"V",
"Vegetarian Starters","SAMOSA  CHAAT","£8.99","Golden crispy Punjabi samosas crushed and topped with warm spiced chickpeas, whipped yoghurt and our signature tamarind sauce & mint chutneys, finished with onions, coriander and our special masala for the perfect mix of flavours.",,"V",
"Vegetarian Starters","CRISPY OKRA FRIES (Kurkuri Bhindi)","£9.99","Finely sliced okra coated in our secret spices with a lightly golden crunch. A delicate, flavour-packed appetiser with an irresistible crisp finish.",,"V, VG, GF",
"Non-Vegetarian Starters","BBQ LAMB SEEKH KEBAB","£5.99","Juicy minced lamb mixed with fresh coriander, green chillies, and our secret aromatic spices, grilled over real charcoal.",2,"H, GF",
"Non-Vegetarian Starters","BBQ CHICKEN SEEKH KEBAB","£4.99","Juicy minced chicken mixed with fresh coriander, green chillies, and our secret aromatic spices, grilled for a juicy, smoky finish.",1,"H, GF",
"Non-Vegetarian Starters","BBQ LAMB CHOPS","£11.99","Tender lamb chops marinated in a rich blend of yogurt, garlic, and our special herbs & spices, charcoal-grilled.",1,"H, GF",Yes
"Non-Vegetarian Starters","DUM KEBAB CHICKEN","£10.99","Juicy minced meat kebabs seasoned with our secret herbs & spices, shaped by hand and slow-cooked on a hot plate, garnished with caramelised onions & tomatoes.",1,"H, GF",
"Non-Vegetarian Starters","RAAVI BBQ CHICKEN WINGS","£7.99","Juicy wings marinated in a bold Raavi spice mix, then charcoal grilled for deep smoky flavour and a perfectly caramelised finish.",2,"H, GF",
"Non-Vegetarian Starters","MALAI CHICKEN BOTI","£11.99","Succulent creamy chicken cubes marinated in our secret spices, then charcoal grilled until melt-in-the-mouth tender.",0,"H, GF",
"Non-Vegetarian Starters","DYNAMITE PRAWNS","£12.99","Prawns marinated with Raavi secret herbs & spices, glazed with our Dynamite sauce.",2,"H, GF",
"Non-Vegetarian Starters","RAAVI SPECIAL CRISPY FISH","£9.99","Tender fish fillets coated in our Raavi spice blend and fried until perfectly crisp.",1,"H, GF",Yes
"Non-Vegetarian Starters","BBQ CHICKEN TIKKA","£9.99","Succulent chicken cubes marinated in a rich blend of yoghurt, herbs and aromatic spices, charcoal grilled to perfection.",2,"H, GF",
"Non-Vegetarian Starters","HARYALI BOTI","£11.99","Tender chicken pieces marinated in a vibrant green blend of herbs, yoghurt and spices, grilled for a flavour-packed finish.",1,"H, GF",
"Non-Vegetarian Starters","PESHAWARI CHAPLI KEBAB (beef)","£5.99","Bold, flavour-packed minced meat kebabs infused with tomatoes, green chillies, fresh herbs and roasted spices, shallow-fried for a signature crisp edge and juicy centre.",2,"H, GF",
"Non-Vegetarian Starters","RAAVI MIX GRILL BBQ SIZZLER FOR 2","£22.99","Chops, Kebabs, Wings, Chicken boti",2,"H, GF",
"Non-Vegetarian Starters","RAAVI MIX GRILL BBQ SIZZLER FOR 4","£44.99","Chops, Kebabs, Wings, Chicken boti",2,"H, GF",
"Chicken Dishes","BUTTER CHICKEN","£12.99","Tender chicken simmered in a silky tomato and buttery creamy sauce, enriched with aromatic spices.",0,"H, GF",Yes
"Chicken Dishes","CHICKEN TIKKA MASALA","£12.99","Tender chicken tikka simmered in a rich, creamy tomato masala sauce, bursting with aromatic spices.",1,"H, GF",
"Chicken Dishes","CHICKEN JALFREZI","£12.99","Juicy chicken pieces cooked with peppers, onions and tomatoes in a bold, tangy, medium-hot sauce.",,"",
"Chicken Dishes","PALAK CHICKEN","£12.99","Succulent chicken cooked in a velvety spinach sauce enriched with aromatic spices and a subtle depth of Lahori flavour.",1,"H, GF",
"Chicken Dishes","ACHARI CHICKEN","£12.99","Juicy chicken pieces simmered in a vibrant achari (Pickles) sauce.",2,"H, GF",
"Lamb Dishes","PALAK GOSHT","£14.99","Succulent lamb cooked in a velvety spinach sauce enriched with aromatic spices and a subtle depth of Lahori flavour.",1,"H, GF",
"Lamb Dishes","LAMB CHOPS MASALA","£14.99","Grilled lamb chops simmered in a masala of tomatoes, onions and warm aromatic spices.",2,"H, GF",
"Lamb Dishes","ACHARI LAMB","£14.99","Tender lamb pieces simmered in a vibrant achari (Pickles) sauce.",2,"H, GF",
"Lamb Dishes","CHILLI GOSHT","£14.99","Juicy lamb cooked with green chillies in a hot, flavourful masala.",3,"H, GF",
"Raavi Karahi Specials","CHICKEN KARAHI ON THE BONE","£25.99 (Half) / £32.99 (Full)","Succulent chicken on the bone, cooked in a rich tomato and ginger with fresh green chillies & coarse black pepper, garnished with finely sliced ginger and coriander leaves.",2,"H, GF",Yes
"Raavi Karahi Specials","RAAVI BONELESS CHICKEN KARAHI (THIGH)","£27.99 (Half) / £39.99 (Full)","Juicy  boneless chicken thigh cooked in a rich tomato and ginger masala with fresh green chillies.",2,"H, GF",
"Raavi Karahi Specials","LAMB KARAHI ON THE BONE","£29.99 (Half) / £44.99 (Full)","Traditional lamb on the bone cooked in a rich tomato, ginger and green chilli masala.",2,"H, GF",
"Raavi Karahi Specials","LAMB KARAHI BONELESS","£35.99 (Half) / £49.99 (Full)","Tender boneless lamb cooked in a rich tomato, ginger and green chilli karahi masala.",2,"H, GF",
"Raavi Karahi Specials","FISH KARAHI (BONELESS)","£29.99 (Half) / £44.99 (Full)","Succulent flaky skinless & boneless fish, cooked in a rich tomato and ginger sauce with fresh green chillies & coarse black pepper, garnished with finely sliced ginger and coriander leaves.",2,"H, GF",
"Seafood","KING PRAWN KARAHI","£15.99","Plump king prawns simmered in a rich karahi masala of tomatoes, ginger and aromatic spices.",2,"H, GF",
"Seafood","CHILLI PRAWN","£15.99","Crispy Prawns tossed in a spicy sauce with peppers, onions, and green chillies, served on a sizzling hot plate.",2,"H, GF",
"Seafood","ACHARI PRAWN KARAHI","£15.99","Juicy king prawns cooked in a vibrant achari (Pickles) sauce.",2,"H, GF",
"Vegetarian Mains","RAAVI CHANNA MASALA","£9.99","Chickpeas cooked in a rich tomato and onion masala with warm, balanced spices, made using a unique Lahori recipe for authentic flavour.",2,"V, VG, GF",
"Vegetarian Mains","BHINDI MASALA","£9.99","Okra cooked with onions, tomatoes and spices in a traditional, flavourful masala.",,"",
"Vegetarian Mains","DAAL MAKHNI","£9.99","Creamy, slow-cooked black lentils with buttery, aromatic spices.",0,"V, GF",
"Vegetarian Mains","TARKA DAAL","£9.99","Yellow lentils cooked to a smooth finish and topped with a fragrant tarka of onion, garlic and spices.",1,"V, GF",
"Vegetarian Mains","PALAK PANEER","£9.99","Soft paneer cubes cooked in a velvety spinach sauce enriched with aromatic spices and a subtle depth of Lahori flavour.",1,"V, GF",
"Vegetarian Mains","BUTTER PANEER","£9.99","Soft paneer cubes simmered in a creamy, buttery tomato sauce & our secret spices.",0,"V, GF",
"Biryani And Rice","CHICKEN BIRYANI","£10.99","Fragrant basmati rice layered with tender chicken, slow-cooked with traditional spices, herbs and fried onions for a rich, aromatic flavour.",2,"H, GF",
"Biryani And Rice","LAMB BIRYANI","£12.99","Fragrant basmati rice layered with tender lamb pieces, slow-cooked with traditional spices, herbs and fried onions for a rich, aromatic flavour.",2,"H, GF",
"Biryani And Rice","CHICKEN TIKKA BIRYANI","£11.99","Flavourful basmati rice layered with smoky, chargrilled chicken tikka, infused with aromatic spices, herbs, and caramelised onions.",2,"H, GF",
"Biryani And Rice","PRAWN BIRYANI","£13.99","Fragrant basmati rice cooked with succulent prawns, aromatic spices, herbs, and caramelised onions for a rich flavour.",2,"H, GF",
"Biryani And Rice","STEAMED RICE","£3.99","Light and fluffy basmati rice, perfectly steamed to accompany any curry or main dish.",,"V, VG, GF",
"Biryani And Rice","PILAU RICE","£4.99","Aromatic basmati rice lightly cooked with spices for a subtle, flavourful accompaniment to any main dish.",,"V, VG, GF",
"Biryani And Rice","RAAVI SPECIAL RICE","£5.99","Dum Pukht style fragrant rice cooked in a Raavi secret herbs & spices.",,"V, VG, GF",Yes
"Breads","PLAIN NAAN","£1.49","",,"V",
"Breads","LAMB KEEMA NAAN","£5.99","",,"H",
"Breads","CHICKEN KEEMA NAAN","£4.99","",,"H",
"Breads","KULCHA","£2.49","",,"",
"Breads","GARLIC NAAN","£2.49","",,"V",
"Breads","KALONJI NAAN","£2.49","",,"V",
"Breads","TANDOORI ROTI","£1.49","",,"V, VG",
"Breads","TAWA LACHHA PARATHA","£2.99","",,"V",
"Breads","CHAPATI","£1.49","",,"",
"Breads","BUTTER NAAN","£1.99","",,"V",
"Breads","CHILLI NAAN","£2.49","",,"V, VG",
"Breads","ALOO PARATHA","£3.99","",,"V",
"Veg Sides","MASALA CHIPS","£6.99","Crispy golden chips tossed in a fragrant blend of spices for a flavourful kick.",,"V, VG",
"Veg Sides","CHIPS","£3.99","Crispy golden chips, lightly salted.",,"V, VG",
"Chutneys","ALOO BUKHARA CHUTNEY","£8.99","Sweet & tangy dried plum chutney, gently spiced for a rich, fruity finish.",,"V, VG, GF",
"Chutneys","ZEERA RAITA","£2.99","Cooling yoghurt raita flavoured with roasted cumin and mild spices.",,"V, GF",
"Chutneys","MINT RAITA","£2.99","Cooling yoghurt blended with fresh cucumber and mild spices.",,"V, GF",
"Raavi Specialities","KUNNA GOSHT","£22.99","Lamb pieces slow-cooked to perfection in a luxurious, spice-infused gravy, delivering rich, traditional flavours.",1,"H, GF",Yes
"Raavi Specialities","LAMB NIHARI","£14.99","Slow-cooked lamb in a rich, aromatic gravy, simmered to tender perfection with traditional spices.",2,"H, GF",Yes
"Raavi Specialities","HALEEM","£12.99","Rich, slow-cooked haleem with tender lamb, lentils and wheat, infused with warming spices.",1,"H",
"Raavi Specialities","PAYA","£12.99","Slow-cooked trotters in a rich, spiced broth, full of traditional flavour.",2,"H, GF",
"Raavi Specialities","KABULI PILAU","£18.99","Fragrant basmati rice cooked with tender lamb, carrots, raisins and a blend of aromatic spices, creating a subtly sweet and savoury Afghan-style pilau.",1,"H, GF",
"Raavi Specialities","RAAVI CHICKEN KEBAB PLATTER (Serves 1)","£21.99","Two juicy chicken minced charcoal grilled kebabs, served with aromatic rice and fresh salad.",1,"H, GF",
"Raavi Specialities","RAAVI LAMB KEBAB PLATTER (Serves 1)","£24.99","Two flame-grilled minced lamb kebabs served with aromatic rice and fresh salad.",1,"H, GF",
"Burgers","RS LAMB BURGER + STEAK CHIPS","£17.99","Double juicy lamb patties seasoned with aromatic spices, served in a soft bun with fresh toppings, accompanied by golden, crispy steak-cut chips.",,"H",
"Burgers","RS FISH BURGER + STEAK","£17.99","Crispy double fish fillets served in a soft bun with fresh toppings, accompanied by golden, crispy steak-cut chips.",,"",
"Burgers","CHAPLI KEBAB BURGER","£17.99","Traditional chapli kebab made with seasoned minced beef, fresh herbs and spices, served in a toasted bun with chutney.",,"H",
"Kids Menu","CHICKEN MINI FILLETS WITH CHIPS AND DRINK","£9.99","",,"",
"Kids Menu","CHICKEN BURGER WITH CHIPS AND DRINK","£9.99","",,"",
"Kids Menu","LAMB BURGER CHIPS AND DRINK","£9.99","",,"",
"Lunch Special","RS LAMB BURGER & STEAK CHIPS","£9.99","Juicy lamb patty seasoned with aromatic spices, served in a soft bun with fresh toppings, accompanied by golden, crispy steak-cut chips.",,"H",
"Lunch Special","RS FISH BURGER & CHIPS","£9.99","Crispy fried fish fillet served in a soft bun with fresh toppings, accompanied by golden, crispy steak-cut chips.",,"",
"Lunch Special","CHICKEN TIKKA ROLL","£9.99","Juicy chicken tikka wrapped in your choice of soft naan or flaky paratha, layered with fresh salad and flavourful chutney.",,"H",
"Lunch Special","LAMB KEBAB ROLL","£9.99","Succulent lamb kebabs wrapped in your choice of soft naan or flaky paratha, layered with fresh salad and flavourful chutney.",,"H",
"Lunch Special","MIX KEBAB ROLL","£12.99","A flavour-packed roll with a mix of chicken tikka and lamb kebab, wrapped in your choice of soft naan or flaky paratha, with fresh salad and chutney.",,"H",
"Lunch Special","CHICKEN KARAHI ROLL","£9.99","Tender chicken karahi wrapped in your choice of soft naan or flaky paratha, paired with fresh salad and chutney.",,"H",
"Lunch Special","MALAI CHICKEN ROLL","£9.99","Creamy malai chicken wrapped in your choice of soft naan or flaky paratha, served with fresh salad and chutney.",,"H",
"Lunch Special","PANEER TIKKA ROLL","£9.99","Tender paneer tikka wrapped in your choice of soft naan or flaky paratha, paired with fresh salad and chutney.",1,"V, GF",
"Lunch Special","CHILLI PANEER ROLL","£9.99","Spicy chilli paneer wrapped in your choice of soft naan or flaky paratha, with fresh salad and chutney.",2,"V",
"Lunch Special","LAHORI NAAN PAKORA","£9.99","Crispy Lahori-style gram flour fritters stuffed inside a soft naan and served with mint chutney.",,"V",
"Lunch Special","CHAPLI KEBAB BURGER & CHIPS","£9.99","Traditional chapli kebab made with seasoned minced beef, fresh herbs and spices, served in a toasted bun with chutney.",,"H",
"Desserts","GULAB JAMUN","£4.49","Soft, warm milk dumplings soaked in fragrant cardamon syrup.",,"V",
"Desserts","GULAB JAMUN WITH ICE CREAM","£5.99","Soft, warm milk dumplings soaked in fragrant cardamon syrup, served with a scoop of creamy vanilla ice cream.",,"V",
"Desserts","GAJAR HALWA","£5.49","Slow-cooked grated carrots simmered in milk, ghee, and sugar, infused with cardamom and topped with roasted nuts.",,"V",
"Desserts","GAJAR HALWA WITH ICE CREAM","£6.99","Slow-cooked grated carrots simmered in milk, ghee, and sugar, infused with cardamom and topped with roasted nuts, served with a scoop of creamy vanilla ice cream..",,"V",
"Desserts","MATKA","£7.99","Special blend of finest dairy kulfi made using rabdi (concentrated milk), topped with saffron sauce with almond and pistachio pieces.",,"V",
"Desserts","HAZELNUT CRUNCH","£7.99","Vanilla ice cream rippled in caramel sauce and rolled in roasted mixed nuts.",,"V",
"Desserts","CARAMEL FANTASTICA","£7.99","Vanilla and caramel ice cream with chocolate balls, toffee pieces and caramel sauce.",,"V",
"Desserts","COCONUT SUPREME","£7.99","Coconut ice cream with coconut shreddings served in a half coconut shell.",,"V",
"Desserts","ORANGE SORBET","£6.99","Made with real orange juice in a real orange shell.",,"V",
"Desserts","STRAWBERRY GOBLET","£8.99","A rich strawberry and cream ice cream with strawberry sauce topped with a real strawberry.",,"V",
"Desserts","KULFI","£4.99","Specially created ice cream using exotic ingredients to give its unique flavour. Available in Pistachio, Mango and Malai flavours.",,"V",
"Desserts","TRIO OF ICE CREAMS","£5.99","A classic selection of vanilla, strawberry, and chocolate scoops.",,"V",
"Desserts","BIRDIE ICE CREAM","£6.49","A fun kids’ treat — creamy vanilla ice cream served in a colourful bird-shaped toy cup they can take home.",,"V",
"Mocktails","LYCHEE ROSE ROYALE","£7.99","A fragrant blend of lychee and rose, lifted with citrus and finished with a crisp sparkle. Light, floral and refreshing.",,"",
"Mocktails","PINA COLADA","£7.99","Classic coconut–pineapple perfection, blended smooth for the ultimate tropical refresh.",,"",
"Mocktails","VIRGIN MOJITO","£7.99","A fresh blend of mint, lime and sparkling soda — crisp, cool and endlessly refreshing.",,"",
"Mocktails","STRAWBERRY MOJITO","£7.99","A refreshing blend of mint, fresh lime and sweet strawberry, topped with sparkling soda for a bright, fruity twist on a classic mojito.",,"",
"Mocktails","RAAVI BLUE MANGO","£7.99","A refreshing layered mix of sweet mango and bright blue citrus.",,"",
"Mocktails","RAAVI SUNSET SHIMMER","£7.99","A vibrant layered blend of pomegranate, orange and pineapple juice, topped with a golden sparkling shimmer.",,"",
"Lassi","SWEET LASSI","£4.99 (Glass) / £11.99 (Jug)","Creamy traditional yoghurt drink, lightly sweetened.",,"",
"Lassi","SALTY LASSI","£4.99 (Glass) / £11.99 (Jug)","Smooth, cooling yoghurt drink seasoned lightly with salt.",,"",
"Lassi","MANGO LASSI","£4.99 (Glass) / £11.99 (Jug)","Creamy yoghurt drink mixed with juicy mango purée.",,"",
"Lassi","PEACH LASSI","£4.99 (Glass) / £11.99 (Jug)","A smooth, creamy yoghurt drink enriched with the gentle sweetness of peach.",,"",
"Soft Drinks","COKE / DIET COKE / FANTA / SPRITE","£2.49","",,"",
"Soft Drinks","RUBICON FIZZY DRINK","£2.49","",,"",
"Soft Drinks","STILL WATER 0.5l","£2.49","",,"",
"Soft Drinks","STILL WATER 0.75l","£3.99","",,"",
"Soft Drinks","SPARKLING WATER 0.5l","£2.99","",,"",
"Soft Drinks","SPARKLING WATER 0.75l","£4.99","",,"",
"Hot Drinks","KARAK CHAI","£2.99","",,"",
"Hot Drinks","ENGLISH TEA","£2.49","",,"",
"Hot Drinks","PEPPERMINT TEA","£2.49","",,"",
"Hot Drinks","LEMON & GINGER","£2.49","",,"",
"Hot Drinks","CHAMOMILE","£2.49","",,"",
